epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,2916.16,0.50435,0.5256,0.1759,0.46176,0.44408,0.40194,0.13957,0.77798,0.69012,0.36885,0.000404375,0.000404375,0.000404375
43,2974.76,0.49785,0.53344,0.16889,0.47607,0.44249,0.40553,0.14016,0.78363,0.65813,0.37496,0.00038375,0.00038375,0.00038375
44,3034.26,0.4791,0.52306,0.17364,0.38058,0.46787,0.35956,0.12451,0.78457,0.64887,0.37246,0.000363125,0.000363125,0.000363125
45,3103.19,0.47846,0.5158,0.16079,0.32737,0.52897,0.35896,0.12621,0.77335,0.72291,0.37094,0.0003425,0.0003425,0.0003425
46,3172.03,0.46908,0.51311,0.16368,0.49053,0.38896,0.37196,0.12922,0.80979,0.67208,0.3716,0.000321875,0.000321875,0.000321875
47,3240.74,0.45827,0.50783,0.15712,0.49639,0.48037,0.42745,0.14027,0.76476,0.73375,0.36052,0.00030125,0.00030125,0.00030125
48,3308.77,0.4528,0.50735,0.15745,0.41024,0.3881,0.36019,0.12149,0.78066,0.72357,0.36978,0.000280625,0.000280625,0.000280625
49,3377.15,0.43998,0.50353,0.15046,0.44337,0.43679,0.386,0.1349,0.78989,0.69348,0.37506,0.00026,0.00026,0.00026
50,3446.46,0.43744,0.49366,0.14814,0.51054,0.39805,0.37095,0.13565,0.77162,0.75111,0.3665,0.000239375,0.000239375,0.000239375
51,3517.07,0.39932,0.44974,0.16827,0.37651,0.40687,0.35828,0.13823,0.7977,0.68934,0.3739,0.00021875,0.00021875,0.00021875
52,3586.84,0.37698,0.43223,0.1637,0.41471,0.39729,0.36276,0.12127,0.81689,0.73399,0.38373,0.000198125,0.000198125,0.000198125
53,3656.38,0.36893,0.41575,0.15336,0.3529,0.4425,0.34742,0.11581,0.805,0.73438,0.37851,0.0001775,0.0001775,0.0001775
54,3724.71,0.35886,0.41045,0.14924,0.42116,0.41007,0.38064,0.13147,0.80348,0.7686,0.37559,0.000156875,0.000156875,0.000156875
55,3793.34,0.34392,0.39656,0.14352,0.42556,0.40898,0.35513,0.12931,0.78358,0.80201,0.36418,0.00013625,0.00013625,0.00013625
56,3861.99,0.33483,0.39676,0.14063,0.43479,0.43509,0.36573,0.12391,0.7874,0.80823,0.36564,0.000115625,0.000115625,0.000115625
57,3931.08,0.32324,0.38062,0.13336,0.37349,0.4359,0.33684,0.12094,0.79348,0.79821,0.37077,9.5e-05,9.5e-05,9.5e-05
58,4000.13,0.32107,0.38302,0.13078,0.40207,0.41447,0.3489,0.11961,0.80495,0.80083,0.37559,7.4375e-05,7.4375e-05,7.4375e-05
59,4068.56,0.30793,0.37164,0.12132,0.44568,0.37756,0.35298,0.1235,0.80429,0.8213,0.37513,5.375e-05,5.375e-05,5.375e-05
60,4137.43,0.30166,0.36719,0.12407,0.44076,0.38982,0.35136,0.12509,0.80066,0.82185,0.37145,3.3125e-05,3.3125e-05,3.3125e-05
