query_id,date_run,year_window,n_without_subjarea,n_final,n_subject_filter_excluded,subject_filter_excluded_pct,n_exported_rows,n_unique_after_within_query_dedup,n_duplicates_within_query,n_missing_doi,known_item_checks,query_sha256,raw_file
Q1,2026-08-09,2015-2026,3433,2001,1432,41.71,2001,1989,12,178,SawitMVC pass,444537faf56bb5f665710d809a9e0d757eb1fc249c894bd737eeadd540581e97,literature/search/raw/scopus_Q1_2026-08-09.csv
Q2,2026-08-09,2015-2026,2920,2789,131,4.49,2789,2723,66,292,,adec1218e7bfa626cf74ed8900c09558a018891f83cc6a6e25d28fcbba422b6f,literature/search/raw/scopus_Q2_2026-08-09.csv
Q3,2026-08-09,2015-2026,5766,5648,118,2.05,5648,5611,37,239,Gene-Mola 2020 pass,d193adc5d63f01d392bbe3cb0cd295d2b44e60209a6200a0a770b72527285e29,literature/search/raw/scopus_Q3_2026-08-09.csv
Q4,2026-08-09,2015-2026,2553,2422,131,5.13,2422,2413,9,109,,b9f0587c22ece4aaee1dde915bde91036b66ffb8993fe6bf7b0f26d6f8c76c33,literature/search/raw/scopus_Q4_2026-08-09.csv
Q5,2026-08-09,2015-2026,729,662,67,9.19,662,661,1,11,,ebcdb2faaafa9e938e7a799f6bce06533ec2d7b4a172d0337544e83830b3394c,literature/search/raw/scopus_Q5_2026-08-09.csv
Q6,2026-08-09,2015-2026,1071,995,76,7.10,995,992,3,131,,8f3e79f2127e93dfc5114109b4ccffdd1fe74b33e1bb2fba3335fbfde8a2d56f,literature/search/raw/scopus_Q6_2026-08-09.csv
Q7,2026-08-09,2015-2026,1274,1205,69,5.42,1205,1200,5,54,MangoYOLO pass,bd3fef7d2c38e2ab7b54ba0c50e832cd05f77680f65a29aa3b745cf961aad041,literature/search/raw/scopus_Q7_2026-08-09.csv
