epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,18698,0.49436,0.52629,0.1418,0.53984,0.57189,0.52835,0.22915,0.67066,0.64122,0.23371,0.000294255,0.000294255,0.000294255
43,19141.3,0.48901,0.51749,0.13898,0.51223,0.6172,0.53259,0.23329,0.66637,0.64631,0.23093,0.000267558,0.000267558,0.000267558
44,19585.8,0.48028,0.51398,0.13542,0.51658,0.59014,0.51079,0.22622,0.67095,0.65827,0.23234,0.000241858,0.000241858,0.000241858
45,20028.9,0.4734,0.50654,0.13195,0.53088,0.57843,0.50586,0.22031,0.67976,0.65679,0.23585,0.000217225,0.000217225,0.000217225
46,20475,0.47536,0.49904,0.13503,0.49032,0.62872,0.50881,0.223,0.67864,0.67306,0.23811,0.000193728,0.000193728,0.000193728
47,20921.7,0.46405,0.48991,0.12989,0.52423,0.56517,0.4986,0.2177,0.68893,0.67293,0.24187,0.000171429,0.000171429,0.000171429
48,21367.9,0.44914,0.48337,0.12761,0.51622,0.55445,0.48898,0.21012,0.68443,0.70452,0.23916,0.000150391,0.000150391,0.000150391
49,21811.8,0.44825,0.47621,0.12652,0.53725,0.54373,0.49451,0.21132,0.68985,0.7045,0.24276,0.000130671,0.000130671,0.000130671
50,22255,0.44295,0.47328,0.12234,0.50781,0.57319,0.48563,0.20642,0.69076,0.70707,0.24493,0.000112323,0.000112323,0.000112323
51,22701.7,0.4107,0.44334,0.13369,0.51271,0.57173,0.49664,0.2109,0.6893,0.71292,0.24054,9.53968e-05,9.53968e-05,9.53968e-05
52,23150.6,0.39568,0.43081,0.12818,0.49898,0.57032,0.48855,0.20728,0.69191,0.72192,0.24251,7.99397e-05,7.99397e-05,7.99397e-05
