epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
44,3497.45,0.54042,0.5653,0.19109,0.48531,0.38842,0.38455,0.14281,nan,nan,nan,0.000363125,0.000363125,0.000363125
45,3664.18,nan,nan,nan,0.48039,0.38842,0.38466,0.14337,nan,nan,nan,0.0003425,0.0003425,0.0003425
46,3822.26,0.55032,0.57176,0.19576,0.48039,0.38842,0.38466,0.14337,nan,nan,nan,0.000321875,0.000321875,0.000321875
47,3909.48,0.53237,0.55831,0.18847,0.39805,0.51315,0.40733,0.15282,nan,nan,nan,0.00030125,0.00030125,0.00030125
48,3991.31,0.534,0.56553,0.19008,0.5093,0.40649,0.38174,0.14299,nan,nan,nan,0.000280625,0.000280625,0.000280625
49,4156.75,0.53549,0.55421,0.18749,0.51017,0.40649,0.38565,0.14485,nan,nan,nan,0.00026,0.00026,0.00026
50,4319.47,nan,nan,nan,0.51017,0.40649,0.38565,0.14485,nan,nan,nan,0.000239375,0.000239375,0.000239375
51,4458.45,nan,nan,nan,0.51017,0.40649,0.38565,0.14485,nan,nan,nan,0.00021875,0.00021875,0.00021875
52,4603.59,nan,nan,nan,0.51017,0.40649,0.38565,0.14485,nan,nan,nan,0.000198125,0.000198125,0.000198125
53,4766.25,nan,nan,nan,0.51017,0.40649,0.38565,0.14485,nan,nan,nan,0.0001775,0.0001775,0.0001775
54,4932.16,nan,nan,nan,0.51017,0.40649,0.38565,0.14485,nan,nan,nan,0.000156875,0.000156875,0.000156875
55,5094.06,nan,nan,nan,0.51017,0.40649,0.38565,0.14485,nan,nan,nan,0.00013625,0.00013625,0.00013625
56,5254.97,nan,nan,nan,0.51017,0.40649,0.38565,0.14485,nan,nan,nan,0.000115625,0.000115625,0.000115625
57,5424.47,nan,nan,nan,0.51017,0.40649,0.38565,0.14485,nan,nan,nan,9.5e-05,9.5e-05,9.5e-05
58,5586.47,nan,nan,nan,0.51017,0.40649,0.38565,0.14485,nan,nan,nan,7.4375e-05,7.4375e-05,7.4375e-05
59,5739.74,nan,nan,nan,0.51017,0.40649,0.38565,0.14485,nan,nan,nan,5.375e-05,5.375e-05,5.375e-05
60,5877.6,nan,nan,nan,0.51017,0.40649,0.38565,0.14485,nan,nan,nan,3.3125e-05,3.3125e-05,3.3125e-05
