wave_rank,shortlist_rank,selection_stage,priority_rank,record_id,doi,title,year,venue,authors,abstract,source_databases,query_ids,abstract_available,abstract_screen_confidence,abstract_screen_basis,priority_score,core_score,fruit_score,oil_palm_score,instance_score,review_score,transfer_score,penalty_score,priority_tier,priority_bucket,priority_reason,priority_penalties,rule_version,review_status,retrieval_status,ledger_decision,ledger_review_order
11,17,quota:fruit_multiview_or_3d,17,M-03c2e789df0874ab,10.1016/j.compag.2026.111898,3D reconstruction and segmentation of grape bunches for robotic berry thinning,2026,Computers and Electronics in Agriculture,"Yok-In, Kabin (57423647000); Buayai, Prawit (57193931723); Moeurn, Dear (60565974000); Mao, Xiaoyang (7402841488)","• End-to-end pipeline from neural reconstruction to physical grape berry manipulation. • Efficient point clouds generation using NeRF and the metric scale derived directly from robot kinematics. • RANSAC sphere fitting achieves 92.1% berry detection precision without annotated training data. • Stem-aligned 6-DoF pose optimization improves end-to-end grip success by 17.2%. Table grape thinning requires selective removal of 20–40% of berries from dense clusters. In practice, workers decide which berries to remove by considering both the approximate berry count and local 3D spatial characteristics such as crowding and relative positioning. Automating this task is challenging because conventional 2D image-based approaches suffer from occlusion-related counting errors and lack explicit 3D spatial information necessary for reliable manipulation. We propose a robot-integrated vision pipeline that reconstructs grape bunch structure from posed multi-view RGB images. Neural Radiance Fields (NeRF) is used to learn a volumetric scene representation, from which a dense, low-noise point cloud is extracted via depth back-projection, and RANSAC-based geometric fitting models individual berries and stems, enabling berry-level segmentation and orientation estimation for manipulation planning. The perception pipeline uses an eye-in-hand RealSense D405 camera mounted on a Fanuc CRX-5iA collaborative robot. Camera poses are derived from the robot kinematic chain, allowing the reconstructed point cloud and detected berry centers to be expressed directly in the metric robot base frame without external scale recovery. In robot-mounted RealSense D405 experiments on 10 grape bunches, RANSAC sphere fitting achieved a counting MAE of 0.50 berries, RMSE of 0.71 berries, and mean center localization error of 2.71 mm. On a 52-bunch benchmark, RANSAC sphere fitting outperforms the learning-based SoftGroup++ method for 3D berry instance segmentation (92.1% vs 82.8% average precision) without requiring annotated training data. In 35 manipulation trials, the system achieved an 85.7% pre-grasp reachability rate and an 83.3% conditional target success rate demonstrating an end-to-end pipeline from neural reconstruction to manipulation-ready berry poses.",Scopus;OpenAlex,Q1;Q3;Q7,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,208,88,54,0,23,12,20,0,B,fruit_multiview_or_3d,cross-view association; 3D reconstruction; depth or point cloud; counting or inventory; fruit target; fruit instance operation; instance perception; quantitative evaluation,,priority-v1.0-title-abstract-scored-diversified,needs_manual_retrieval,not_found_or_restricted,pending,69
12,19,quota:fruit_multiview_or_3d,19,R-0cab1a5987f0175e,10.1109/c366505.2025.11340275,Performance Evaluation of Detection and Tracking Algorithms for Automated Grape Cluster Counting,2025,C3 2025 - IEEE Colombian Caribbean Conference,"Kemper, Ricardo Jesus Huaman (58068884300); Manrique, Pedro Antonio Zamora (60514782200); Rosas, Diego Dustin Herrera (60514782300); Gardini, Sixto Ricardo Prado (57211339556)","The accurate estimation of crop yield is crucial in modern agriculture; however, traditional methods, such as manual counting of grape clusters, often result in errors exceeding 20% and are impractical for large-scale monitoring under variable environmental and climatic conditions. While object detection techniques have been successfully implemented in realworld agricultural scenarios, the integration and performance of multi-object tracking (MOT) algorithms in such dynamic and unstructured environments remains underexplored. This article provides a comparative evaluation of state-of-the-art object detection and tracking methodologies for use in vineyard conditions. Here, two detection methods-YOLOv12 and RF-DETR-were compared in combination with two tracking algorithms-BoTSORT and ByteTrack-to generate four distinct configurations aimed at the automatic counting of grape clusters. Experimental results on a video dataset recorded in agroindustrial vineyards showed that the combination of YOLOv12 with BoT-SORT achieved the highest average relative counting accuracy, with 84.31%. These findings confirm the potential of AI-based techniques for precision agriculture, offering greater accuracy in yield estimation, optimized resource management, and a substantial reduction in reliance on manual labor.",Scopus;OpenAlex,Q1;Q7,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,201,39,64,0,23,36,28,0,B,fruit_multiview_or_3d,tracking identity; counting or inventory; fruit target; horticultural setting; fruit instance operation; instance perception; quantitative evaluation; prior review,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,529
13,20,quota:oil_palm_direct,20,M-f9cf4506accedb95,10.1016/j.atech.2026.102376,Automated oil palm fruit counting using deep learning for reliable yield estimation in natural background,2026,Smart Agricultural Technology,"Hamdani, Hamdani (57203791510); Septiarini, Anindita (56530676100); Syaifudin, Encik Akhmad (58980651400); Nor Gading, Fazri Rahmad (60740571100); Winarno, Edy (56049606100)","Accurate fruit counting is a critical component of yield estimation and harvest planning in oil palm plantations, yet manual counting remains labor-intensive and unreliable due to dense clustering, occlusion, and illumination variability under real field conditions. To address this challenge, this study introduces a density-aware benchmark dataset comprising 539 high-resolution RGB images of oil palm fresh fruit bunches (FFBs) collected in natural plantation environments in East Kalimantan, Indonesia. The dataset includes instance-level bounding-box annotations and captures substantial variability in fruit density, maturity stages, viewing angles, and lighting conditions. Three state-of-the-art deep learning architectures: YOLOv5, YOLOv8, and Mask R-CNN, were comparatively evaluated under a standardized image-level dataset split and common evaluation protocol. Beyond conventional detection metrics, including Precision, Recall, and mAP, a density-level counting analysis was conducted using Mean Absolute Error (MAE) across low-, medium-, and high-density fruit scenarios. Experimental results demonstrate that YOLOv5 achieved the most balanced overall performance, attaining a Precision of 0.963, Recall of 0.946, F1-score of 0.954, and the lowest global counting error, with an MAE of 4.96 fruits per image. YOLOv8 showed competitive detection capability with stable convergence behavior, while Mask R-CNN provided a complementary instance-based comparison but exhibited increased counting variability in high-density conditions. The findings confirm that lightweight one-stage detectors, particularly YOLOv5, offer a robust trade-off between detection accuracy and counting stability for practical deployment in large-scale oil palm plantations. The proposed density-aware benchmark and evaluation framework establish a reproducible foundation for scalable, AI-driven yield estimation in precision palm oil agriculture.",Scopus;OpenAlex,Q4;Q6;Q7,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,200,12,64,54,23,36,0,0,B,oil_palm_direct,counting or inventory; oil-palm target; ripeness or variety attribute; fruit target; horticultural setting; fruit instance operation; instance perception; quantitative evaluation,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,71
14,21,quota:prior_review_or_positioning,21,R-eeb11f1ca8284464,10.1109/access.2024.3419835,Palm Oil Counter: State-of-the-Art Deep Learning Models for Detection and Counting in Plantations,2024,IEEE Access,"Naftali, Martinus Grady (57866665500); Hugo, Gregory (58028586700); Suharjito (55390566600)","Traditional palm oil production methods for evaluating fruit bunches (FFBs) are inefficient, costly, and have limited coverage. This study evaluates the performance of various YOLO models and other state-of-the-art object detection models using a novel dataset of oil palm fresh fruit bunches in plantations, captured in the plantation regions of Central Kalimantan Province, Indonesia. The dataset includes five ripeness classes (abnormal, ripe, underripe, unripe, and flower) and presents challenges such as partially visible objects, low contrast scenes, occluded and small objects, and blurry images. The proposed YOLOv8s Depthwise model was compared with other YOLO models, including YOLOv6s, YOLOv6l, YOLOv7 Tiny, YOLOv7l, YOLOv8s, and YOLOv8l. YOLOv8s Depthwise demonstrated a balanced performance, with a compact size (10.6 MB), fast inference time (0.027 seconds), and strong detection accuracy (mAP50 at 0.75, mAP50-95 at 0.481). Its rapid convergence and low training loss highlighted its efficiency, completing training in the shortest time of 2 hours, 18 minutes, and 30 seconds. Furthermore, it achieved low Mean Absolute Error (MAE) of 0.164 and Root Mean Square Error (RMSE) of 0.4, indicating precise counting capability. Hyperparameter tuning revealed that the YOLOv8s Depthwise model achieved optimal performance using the SGD optimizer with a batch size of 16 and a learning rate of 0.001, showing the best balance between accuracy and training efficiency. Data augmentation positively impacted model performance, resulting in improved performance metrics across various models. When evaluated against other state-of-the-art models on the same dataset, including Faster RCNN, SSD MobileNetV2, YOLOv4, and YOLOv9, YOLOv8s Depthwise surpassed other state-of-the-art models, including Faster R-CNN, SSD MobileNetV2, YOLOv4, and EfficientDet-D0 from previous research, in terms of speed, accuracy, and efficiency, making it ideal for real-time palm oil harvesting applications.",Scopus;OpenAlex,Q4;Q6;Q7,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,200,12,64,54,23,36,0,0,D,prior_review_or_positioning,counting or inventory; oil-palm target; ripeness or variety attribute; fruit target; horticultural setting; fruit instance operation; instance perception; quantitative evaluation,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,1402
15,22,quota:transfer_mechanism,22,R-b4e85e6711322ed3,10.20965/ijat.2026.p0308,Comparison of 3D Point Cloud Acquisition Accuracy in a Large-Scale Japanese Pear Tree Orchard,2026,International Journal of Automation Technology,"Shibata, Kohei (60736212100); Kochi, Nobuo (6602217443); Hamada, Kazutoshi (35240074200)","Practical three-dimensional (3D) phenotyping in large-scale orchards with repetitive row structures remains challenging, and systematic evidence comparing both accuracy and acquisition efficiency under outdoor conditions remains limited. This study presents a field-deployable evaluation framework and implements it in a 2-ha commercial Japanese pear orchard trained under a joint V-trellis system. Using a terrestrial laser scanner (TLS) as the reference, we evaluated two handheld LiDAR systems (a low-cost SLAM-based system and a high-performance system), structure from motion / multi-view stereo (SfM/MVS) reconstructions from three camera platforms (a digital camera, an action camera, and a 360° camera), and 3D Gaussian splatting (3DGS) constructed from action-camera video. Measurements were taken at two spatial scales to capture scale-dependent effects. In the span-scale survey (4 m), location error was derived from TLS-referenced target coordinate differences, and reconstruction error was quantified using cloud-to-mesh distances with cubic targets. In the row-scale survey (one tree row), positional stability during continuous mapping was evaluated as location error. Operational metrics (acquisition time, data volume, and processing effort) were also documented. The results demonstrate clear trade-offs among the methods: LiDAR enables rapid wide-area acquisition but is susceptible to cumulative drift in row-structured environments, whereas SfM/MVS provides superior geometric fidelity at the cost of increased time and data volume. Although 3DGS is less suitable for precise quantitative measurement, it demonstrates strong potential for intuitive visualization of orchard structure and fruit distribution. These findings highlight the need for staged, purpose-specific, and seasonally adaptive strategies for orchard-scale digital twin development.",Scopus;OpenAlex,Q3,yes,medium,retain because of mechanism signal: broad visual target-operation evidence; full-text review required,199,76,40,0,0,24,48,0,D,transfer_mechanism,cross-view association; 3D reconstruction; depth or point cloud; fruit target; horticultural setting; prior review; transfer identity mechanism; transfer geometry mechanism,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,2406
16,23,quota:transfer_mechanism,23,R-c7f5a65fd3f978a0,10.18174/681245,Data association for building world models in agriculture,2025,,David Rapado-Rincón,"The agricultural sector faces growing pressure to produce more food with less labor. Robots and automation can help, but agricultural environments are complex, cluttered, and highly dynamic. For a robot to work well in such environments, it needs to understand its surroundings by building an internal representation of the world called a world model. This thesis focuses on advancing symbolic and neuro-symbolic world models, which offer greater interpretability and verifiability compared to purely sub-symbolic approaches. The main challenge addressed is Multi-Object Tracking (MOT), particularly the data association problem, which is essential in a world model for maintaining persistent object identities over time amidst significant occlusion, appearance variation and sensor noise.This research presents a progression of novel MOT methodologies designed for agricultural applications. It begins by establishing a baseline symbolic tracker using Kalman filters and geometric features, demonstrating the inherent limitations of such approaches in cluttered conditions (Chapter 2). To overcome these limitations, a neuro-symbolic method, MinkSORT, is introduced, which leverages sparse 3D convolutional networks to learn discriminative feature embeddings from point cloud data. This significantly improves data association by combining learned 3D features with positional information, enhancing tracking robustness against occlusion (Chapter 3). Further advancing the state-of-the-art, the thesis presents MOT-DETR, an integrated, transformer-based architecture that performs simultaneous 3D object detection and tracking. By fusing multi-modal (RGB and 3D) data, MOT-DETR demonstrates superior performance in scenarios with challenging camera motion and severe occlusions compared to two-stage methods (Chapters 4 and 5). The principles of robust data association are then scaled to large-scale environmental mapping with Tree-SLAM. This symbolic system integrates a novel data association algorithm with factor graph optimization to create accurate, geo-referenced orchard maps by using tree trunks as landmarks, achieving high precision even with unreliable GPS data (Chapter 6).In conclusion, this thesis makes significant contributions to robust perception for agricultural robotics by developing a series of state-of-the-art MOT systems. The findings underscore the important role of robust data association strategies and the efficacy of learned 3D and multi-modal features in building accurate world models. This work advances the development of more capable and autonomous agricultural systems, addressing the main challenges in modern food production.",OpenAlex,Q3,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,198,77,18,0,23,24,48,0,D,transfer_mechanism,association; tracking identity; depth or point cloud; horticultural setting; instance perception; quantitative evaluation; prior review; transfer identity mechanism,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,3722
17,24,quota:core_identity_or_inventory,24,R-1659fedd86bd7cd3,10.1109/isitsc64373.2024.00013,Utilizing NeRF-Based Rays for Spatial Perception in Fruit Counting Deduplication,2024,"Proceedings - 2024 International Symposium on Internet of Things and Smart Cities, ISITSC 2024","Zhou, Chong (59526732900); Xu, Fei (59526516500); Huang, Ansheng (59526947100); Wang, Chenhuizi (58866655800); Zhang, Wenli (56440513600)","Accurate fruit counting is essential for effective management in orchards and plantations. Traditionally, quantifying fruits like citrus on trees involves labor-intensive manual counting. Recently, computer vision-based automated methods have emerged as a viable alternative. However, these methods often struggle with issues like occlusion by leaves and duplicate counts due to multiple appearances in the image frame. This study proposes the integration of 2D detection techniques with 3D reconstruction technologies, utilizing Rays in Neural Radiance Fields(NeRF) to overcome these challenges and enhance the precision of fruit counting on individual trees. The implementation involves targeted training of the YOLOv8 model, combined with NVIDIA's instant-ngp for swift NeRF reconstruction, and further refined by data clustering via the DBSCAN algorithm. This approach markedly increases the detection accuracy especially for a single fruit tree, resulting in a mean absolute error (MAE) of 1.5 oranges with a prediction accuracy of 90.625%, effectively refining fruit counting evaluations for a single fruit tree.",Scopus;OpenAlex,Q1,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required",196,96,64,0,5,0,20,0,A,core_identity_or_inventory,duplicate resolution; 3D reconstruction; depth or point cloud; counting or inventory; fruit target; horticultural setting; fruit instance operation; quantitative evaluation,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,425
18,25,quota:fruit_multiview_or_3d,25,R-42076fdd591b031b,10.1016/j.compag.2021.106343,In-field apple size estimation using photogrammetry-derived 3D point clouds: Comparison of 4 different methods considering fruit occlusions,2021,Computers and Electronics in Agriculture,"Gené-Mola, Jordi (57208647898); Sanz-Cortiella, Ricardo (37068026200); Rosell-Polo, Joan R. (36839827400); Escolà, Alexandre (15073933600); Gregorio, Eduard (15834312900)","In-field fruit monitoring at different growth stages provides important information for farmers. Recent advances have focused on the detection and location of fruits, although the development of accurate fruit size estimation systems is still a challenge that requires further attention. This work proposes a novel methodology for automatic in-field apple size estimation which is based on four main steps: 1) fruit detection; 2) point cloud generation using structure-from-motion (SfM) and multi-view stereo (MVS); 3) fruit size estimation; and 4) fruit visibility estimation. Four techniques were evaluated in the fruit size estimation step. The first consisted of obtaining the fruit diameter by measuring the two most distant points of an apple detection (largest segment technique). The second and third techniques were based on fitting a sphere to apple points using least squares (LS) and M−estimator sample consensus (MSAC) algorithms, respectively. Finally, template matching (TM) was applied for fitting an apple 3D model to apple points. The best results were obtained with the LS, MSAC and TM techniques, which showed mean absolute errors of 4.5 mm, 3.7 mm and 4.2 mm, and coefficients of determination (R2) of 0.88, 0.91 and 0.88, respectively. Besides fruit size, the proposed method also estimated the visibility percentage of apples detected. This step showed an R2 of 0.92 with respect to the ground truth visibility. This allowed automatic identification and discrimination of the measurements of highly occluded apples. The main disadvantage of the method is the high processing time required (in this work 2760 s for 3D modelling of 6 trees), which limits its direct application in large agricultural areas. The code and the dataset have been made publicly available and a 3D visualization of results is accessible at http://www.grap.udl.cat/en/publications/apple_size_estimation_SfM.",Scopus;OpenAlex,Q3,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required",196,76,54,0,23,12,20,0,B,fruit_multiview_or_3d,cross-view association; 3D reconstruction; depth or point cloud; fruit target; fruit instance operation; instance perception; quantitative evaluation; benchmark or dataset,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,776
19,26,quota:transfer_mechanism,26,R-5e7bc7921f4a7e10,10.1061/9780784487020.046,3D Pedestrian Tracking and Yaw Extraction in Large-Scale Synthetic Urban Video via RGB-D Multi-Camera Fusion,2026,International Conference on Transportation and Development 2026: Transportation Planning and Operations - Selected papers from the International Conference on Transportation and Development 2026,"Kadav, Parth (57211998448); Selvakumar, Balaji (60108849500); Fanas Rojas, Johan (57216544832); Saroj, Abhilasha (57207575386); Shoman, Maged (57223960680)","We propose a modular pipeline for accurate pedestrian detection, tracking, and 3D localization using calibrated multi-camera RGB-D inputs. Inspired by recent efforts on cluster-based multi-camera association, particularly the Cluster Self-Refinement framework, our 2D tracking stage combines object detection, human pose estimation, and appearance-based re-identification to establish consistent global identities across views. Leveraging precise camera calibration, we perform perspective projection to map 2D detections into a shared world frame, enabling spatial reasoning and robust cross-view associations. Using high-resolution depth maps from a large-scale, synthetically generated dataset (NVIDIA Omniverse), we reconstruct global point clouds and extract pedestrian-level 3D bounding boxes through spatial clustering. Orientation (yaw) is estimated using both motion cues and geometry-based alignment. Our system achieves reliable multi-view 3D tracking and localization in crowded urban scenes, offering direct applications to pedestrian behavior analysis, infrastructure design, and risk assessment in transportation environments.",Scopus;OpenAlex,Q2,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,196,92,30,0,23,12,28,0,D,transfer_mechanism,re-identification; cross-view association; depth or point cloud; fruit target; instance perception; quantitative evaluation; benchmark or dataset; transfer identity mechanism,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,2392
20,27,quota:fruit_multiview_or_3d,27,M-cb0a5c723f35ab70,10.1016/j.atech.2026.102177,FlyYOLO-SORT: A lightweight detection and multi-object tracking framework for tephritid fruit flies towards automated phytosanitary monitoring,2026,Smart Agricultural Technology,"Chen, Li (60521096200); Li, Zitao (60521132600); Du, Heming (57210356593); Zhang, Zibo (60520924800); Cheng, Daifeng (55613545900); Liu, Gang (57374481500); Zheng, Tianyu (60521097200); Liu, Qifei (59044924500); Yang, Ding (57204394470); Jiang, Fan (57118758100); Yu, Xin (57191429254); Wang, Yan (57223332726); Li, Xuankun (55416777100)","Real-time monitoring of tephritid fruit flies is essential for effective agricultural pest control and stringent plant quarantine measures. Most existing computer vision approaches primarily focus on static images derived from sticky traps. The absence of temporal motion information makes it difficult for these methods to maintain robust tracking performance when targets undergo fast and drastic movements, morphological blurring, and mutual occlusion. To overcome these limitations, mining and utilizing temporal motion features is critical, with high-precision multi-object tracking (MOT) serving as the foundation. Using Bactrocera dorsalis and Bactrocera correcta as case studies, we construct a high-performance detection and MOT framework designed for video monitoring. First, we propose FlyYOLO, a lightweight detector based on YOLOv11n. By fusing deep and shallow features, the detector is encouraged to focus on subtle dorsal features of the fruit flies, thereby improving classification accuracy. Simultaneously, a bounding box scoring mechanism is introduced to further optimize localization precision. Second, using FlyYOLO as the base detector, we propose FlyYOLO-SORT, an algorithm based on the tracking-by-detection (TBD) paradigm. We design a Dual-Box Complementary Fusion (DBCF) strategy to effectively integrate the strengths of Axis-Aligned Bounding Boxes and Oriented Bounding Boxes to generate high-quality detection results. Additionally, an Angle-Aware Euclidean Metric (AEM) is proposed for data association, significantly enhancing tracking robustness in complex scenarios involving frequent occlusion and irregular flight. On our dataset, FlyYOLO-SORT achieves outstanding performance with 48.26% HOTA, 80.15% MOTA, 56.01% MOTP, and 81.96% IDF1. Compared to ByteTrack, it reduces ID switches by 52.3%. Experimental results demonstrate that the proposed method enables efficient and stable MOT of fruit flies, providing reliable technical support for applications such as population counting and behavioral analysis of insects exhibiting complex motion patterns.",Scopus;OpenAlex,Q1;Q7,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,195,67,54,0,23,12,28,0,B,fruit_multiview_or_3d,association; tracking identity; counting or inventory; fruit target; fruit instance operation; instance perception; quantitative evaluation; benchmark or dataset,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,1677
21,28,quota:transfer_mechanism,28,R-14e8ffb11f0e64fd,10.1016/j.procs.2025.04.281,A Comprehensive Deep Learning Model for Improved Person Re-identification Using Multi-Camera Streaming Pipeline,2025,Procedia Computer Science,"Devarshi, Patel (59927214200); Yash, Chauhan (59926412300); Patel, Meghna B. (57202986352); Raval, Dhaval K. (59523354100)","The growing importance of multi-camera person Re-ID reflects its significance in computer vision. While single-camera tracking has advanced, maintaining identification across multiple cameras remains challenging due to factors like occlusion, appearance changes, camera motion, and lighting conditions. In this proposed research work, present a comprehensive multi-camera person Re-ID process designed to address these challenges by leveraging advanced detection and tracking methodologies. The process begins with the utilization of the state-of-the-art YOLOv8n and lightweight object detection model, specifically for person detection. This model efficiently identifies and localizes individuals within the video frames captured by multiple cameras, each covering a unique perspective within the monitored environment. The system integrates DeepSORT trained on the MARS dataset for multiple object tracking (MOT) to maintain consistent identification across video frames. Following person detection and tracking, a custom transformer model built on the TorchReID framework is employed to analyze and compare bounding boxes of detected persons, ensuring that the identified individuals are accurately associated with existing IDs. The Re-ID process is further enhanced by custom trained OSNet_x1_0 and ResNet50 models. These models, trained on a combination of the Market1501 dataset and the UNI09 custom dataset, extract rich and discriminative feature embeddings. The integration of these models has achieved high accuracy in identifying individuals across multiple camera views. Notably, OSNet_x1_0 achieves 98.4% mAP and ResNet50 reaches 96.1% mAP on Market1501. The integration of these models into the Re-ID pipeline has achieved high accuracy in identifying individuals across multiple camera views. Experimental results demonstrate the system’s ability to maintain accurate person identification across cameras, achieving high consistency. This outcome highlights the effectiveness of proposed approach.",Scopus;OpenAlex,Q2,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,195,97,0,0,23,36,28,0,D,transfer_mechanism,re-identification; cross-view association; tracking identity; instance perception; quantitative evaluation; prior review; benchmark or dataset; transfer identity mechanism,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,2251
22,29,quota:transfer_mechanism,29,R-15525c90d9bffc97,10.1109/iccvw69036.2025.00553,MCBLT: Multi-Camera Multi-Object 3D Tracking in Long Videos,2025,"Proceedings - 2025 IEEE/CVF International Conference on Computer Vision Workshops, ICCV-W 2025","Wang, Yizhou (60391305400); Meinhardt, Tim (57200612027); Cetintas, Orcun (57246032600); Yang, Cheng-Yen (57226342947); Pusegaonkar, Sameer S. (57216743182); Missaoui, Benjamin (57536671800); Biswas, Sujit (58570690000); Tang, Zheng (57189590145); Leal-Taixé, Laura (35758586600)","Object perception from multi-view cameras is crucial for intelligent systems, particularly in indoor environments, e.g., warehouses, retail stores, and hospitals. Most traditional multi-target multi-camera (MTMC) detection and tracking methods rely on 2D object detection, single-view multi-object tracking (MOT), and cross-view re-identification (ReID) techniques, without properly handling important 3D information by multi-view image aggregation. In this paper, we propose a 3D object detection and tracking framework, named MCBLT, which first aggregates multi-view images with necessary camera calibration parameters to obtain 3D object detections in bird's-eye view (BEV). Then, we introduce hierarchical graph neural networks (GNNs) to track these 3D detections in BEV for MTMC tracking results. Unlike existing methods, MCBLT has impressive generalizability across different scenes and diverse camera settings, with exceptional capability for long-term association handling. As a result, our proposed MCBLT establishes a new state-of-the-art on the AICity'24 dataset with 81.22 HOTA, and on the WildTrack dataset with 95.6 IDF1.<sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">†</sup><sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">†</sup>The source code will be released at https://github.com/nv-dvl/sushiverse.",Scopus;OpenAlex,Q2,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,195,97,0,0,23,36,28,0,D,transfer_mechanism,re-identification; cross-view association; tracking identity; instance perception; quantitative evaluation; prior review; benchmark or dataset; transfer identity mechanism,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,2252
23,31,quota:core_identity_or_inventory,32,R-bb95904bdbfaea33,10.1016/j.atech.2025.101088,Orange yield estimation using object tracking and 3D reconstruction,2025,Smart Agricultural Technology,"Hassan, Amna (59326332600); Mumtaz, Rafia (16176156800); Palade, Vasile (6701857025); Amin, Arslan (58549483700); Mahmood, Zahid (59268352400); Khan, Noorullah (54581048800); Noman, Muhammad (59597587200); Imran, Muhammad (58153251900); Wicha, Santichai (55003468200)","The labor-intensive nature of agriculture, particularly in tasks such as yield estimation of fruits, is a significant challenge. Yield estimation is crucial for the better management of the resources and for taking adequate measures for the transportation, storage, and export of the fruits. It also helps the farmers to estimate the total pricing of the yield. However, counting fruits directly on trees for yield estimation presents an obstacle due to their dispersed nature and often dense foliage. Therefore, we propose that reasonably accurate fruit yield estimation can be automated with a handheld camera. The dataset is curated by capturing and annotating 1451 images of orange trees. The dataset is augmented and processed in different ways to evaluate the performance of YOLOv8 for the detection of oranges. Then the Byte tracker is deployed to track oranges in consecutive video frames. Further, we have classified the fruits into two categories, ripe and unripe using MobileVit. The 2D fruits detected by YOLOv8 are projected to a 3D space for a more detailed analysis of the scene. Subsequently, the clustering algorithm is applied to the 3D projections of the detected objects to estimate per tree yield. On images, YOLOv8 nano has achieved a precision of 78.2% and recall of 69.7% on the test set. Moreover, for ripeness stage classification, MobileVit has achieved an accuracy of 97.8% and 86.7% on a test set containing 2 classes and 3 classes, respectively. Testing our proposed solution on videos shows that the algorithm is achieving good results on trees with less leaf occlusion. This paper demonstrates that preprocessing techniques can aid the detection model to achieve high detection rates. Furthermore, per tree yield of an orange orchard can be estimated by using video input. This offers an automated solution to the laborious task of fruit yield estimation in agricultural settings, that can help to optimize orange production.",Scopus;OpenAlex,Q1,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,193,63,64,18,5,12,20,0,A,core_identity_or_inventory,tracking identity; 3D reconstruction; counting or inventory; ripeness or variety attribute; fruit target; horticultural setting; fruit instance operation; quantitative evaluation,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,628
24,32,quota:prior_review_or_positioning,31,R-267b604f8f9156e6,10.3389/fpls.2026.1879872,A review: research progress on intelligent technologies for orchard yield monitoring,2026,Frontiers in Plant Science,Shengyi Zhao; Han Lin; Yong Jiang; Jizhan Liu,"monitoring remains challenging because commercial orchards are characterized by severe canopy occlusion, fruit overlap, heterogeneous tree architecture, variable illumination, and complex backgrounds. This review synthesizes advances in multi-modal sensing and deep learning for orchard yield estimation, breaking down the paradigm into intermediate fruit-counting or crop-load monitoring steps and supplementary spectral quality-assessment dimensions. First, yield-related indicators are summarized, including direct phenotypic traits such as fruit number, size, volume, and spatial distribution, as well as indirect structural and physiological proxies such as canopy volume, vegetation indices, flowering intensity, and spectral maturity attributes. Second, representative sensing devices and carrying platforms are reviewed, including red-green-blue (RGB) cameras, red-green-blue-depth (RGB-D) sensors, light detection and ranging (LiDAR), hyperspectral and multispectral systems, unmanned ground vehicles (UGVs), and unmanned aerial vehicles (UAVs). Third, the evolution of estimation methods is discussed, from traditional image processing and machine learning to object detection, instance segmentation, multi-object tracking, point-cloud analysis, remote-sensing regression, and multi-modal fusion. The review shows that no single sensor or algorithm can satisfy all orchard monitoring requirements. Ground-based vision and depth sensing are more suitable for fine-scale fruit counting and sizing, whereas UAV and spectral sensing provide advantages for regional yield mapping and quality-enhanced assessment. Future research should emphasize occlusion-aware perception, robust cross-environment generalization, lightweight edge deployment, standardized benchmarks, and integrated quantity-quality monitoring frameworks for actionable crop load management.",OpenAlex,Q1;Q3;Q4;Q5;Q7,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,193,61,40,18,18,0,48,0,D,prior_review_or_positioning,tracking identity; depth or point cloud; counting or inventory; ripeness or variety attribute; fruit target; horticultural setting; instance perception; transfer identity mechanism,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,1699
