epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,3071.28,0.50118,0.52362,0.17289,0.41314,0.43027,0.36755,0.12275,0.79686,0.64893,0.37775,0.000404375,0.000404375,0.000404375
43,3139.94,0.51204,0.53526,0.18152,0.43045,0.42313,0.39878,0.13984,0.75812,0.66388,0.35617,0.00038375,0.00038375,0.00038375
44,3208.86,0.48547,0.53131,0.16994,0.421,0.44358,0.38294,0.14072,0.77989,0.63686,0.37151,0.000363125,0.000363125,0.000363125
45,3277.7,0.47572,0.5121,0.16241,0.44762,0.42199,0.39421,0.1379,0.79141,0.65126,0.374,0.0003425,0.0003425,0.0003425
46,3346.59,0.47257,0.52256,0.16267,0.39465,0.46105,0.4244,0.15511,0.76091,0.663,0.35409,0.000321875,0.000321875,0.000321875
47,3416.06,0.46434,0.52494,0.15833,0.4833,0.39069,0.38664,0.14162,0.77071,0.71436,0.36433,0.00030125,0.00030125,0.00030125
48,3485.74,0.44942,0.51148,0.14975,0.58419,0.43346,0.45544,0.16728,0.74816,0.70779,0.35448,0.000280625,0.000280625,0.000280625
49,3556.24,0.43444,0.48991,0.14422,0.49093,0.39804,0.37868,0.13395,0.75487,0.75063,0.34771,0.00026,0.00026,0.00026
50,3625.79,0.43517,0.51126,0.1496,0.55546,0.44471,0.41973,0.14553,0.76955,0.72106,0.35601,0.000239375,0.000239375,0.000239375
51,3696.46,0.40102,0.44514,0.16731,0.53724,0.49384,0.4551,0.16148,0.76611,0.71289,0.36119,0.00021875,0.00021875,0.00021875
52,3765.74,0.39059,0.43092,0.16762,0.37193,0.48374,0.38736,0.13874,0.77118,0.73163,0.36607,0.000198125,0.000198125,0.000198125
53,3835.86,0.37222,0.41303,0.15347,0.43133,0.45645,0.36473,0.13182,0.76198,0.79623,0.35356,0.0001775,0.0001775,0.0001775
54,3906,0.36437,0.40936,0.15115,0.39341,0.4732,0.37416,0.13913,0.76539,0.8033,0.36256,0.000156875,0.000156875,0.000156875
55,3976.49,0.34442,0.40194,0.142,0.52187,0.48675,0.42054,0.15479,0.77911,0.75378,0.36223,0.00013625,0.00013625,0.00013625
56,4046.53,0.3374,0.38996,0.14264,0.48216,0.48308,0.42119,0.14777,0.78582,0.77311,0.37013,0.000115625,0.000115625,0.000115625
57,4116.56,0.33027,0.38531,0.13353,0.4717,0.47917,0.39499,0.13521,0.79273,0.76134,0.36882,9.5e-05,9.5e-05,9.5e-05
58,4185.72,0.32038,0.38195,0.1291,0.49148,0.4912,0.41921,0.15153,0.80172,0.77268,0.37646,7.4375e-05,7.4375e-05,7.4375e-05
59,4255.06,0.30458,0.36834,0.12347,0.45075,0.50826,0.41737,0.15334,0.7956,0.78162,0.37255,5.375e-05,5.375e-05,5.375e-05
60,4323.94,0.31168,0.37392,0.12039,0.47875,0.52447,0.419,0.15154,0.78283,0.79174,0.3672,3.3125e-05,3.3125e-05,3.3125e-05
