epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,81.3298,1.15411,6.01437,0.50897,0.5704,0.25768,0.09826,0.0298,0.81454,0.90093,0.39709,0.000413279,0.000413279,0.000413279
2,153.672,0.80586,0.73122,0.31353,0.70876,0.31157,0.29696,0.0991,0.74605,0.75909,0.35217,0.000816252,0.000816252,0.000816252
3,223.353,0.77165,0.7239,0.29081,0.8338,0.27897,0.31204,0.10111,0.76968,0.69006,0.37418,0.00120547,0.00120547,0.00120547
4,292.663,0.75986,0.68482,0.29508,0.54875,0.38054,0.32743,0.09968,0.80531,0.6231,0.39166,0.00118812,0.00118812,0.00118812
5,361.657,0.75033,0.69289,0.27828,0.83428,0.36045,0.40109,0.14754,0.72443,0.63474,0.33411,0.0011675,0.0011675,0.0011675
6,431.235,0.74725,0.65414,0.29032,0.5973,0.39158,0.41347,0.14079,0.75693,0.60685,0.36196,0.00114688,0.00114688,0.00114688
7,499.947,0.73422,0.68239,0.28088,0.76533,0.32175,0.35915,0.11271,0.763,0.68101,0.35808,0.00112625,0.00112625,0.00112625
8,568.046,0.71885,0.66218,0.2828,0.82412,0.33695,0.36269,0.12494,0.78487,0.59523,0.37993,0.00110563,0.00110563,0.00110563
9,637.071,0.71145,0.66546,0.26888,0.83292,0.31826,0.40194,0.1358,0.75357,0.64283,0.35485,0.001085,0.001085,0.001085
10,706.15,0.70746,0.67214,0.2649,0.48452,0.44387,0.41929,0.13638,0.75242,0.60616,0.36382,0.00106437,0.00106437,0.00106437
11,775.446,0.68263,0.66303,0.25819,0.33636,0.47216,0.41296,0.14669,0.75493,0.60594,0.35467,0.00104375,0.00104375,0.00104375
12,844.823,0.69513,0.66146,0.26513,0.62074,0.36324,0.37042,0.13291,0.75201,0.63207,0.36019,0.00102312,0.00102312,0.00102312
13,913.536,0.68318,0.64027,0.26399,0.32907,0.45714,0.37388,0.12855,0.76398,0.62671,0.37109,0.0010025,0.0010025,0.0010025
14,982.929,0.68008,0.65329,0.25262,0.48374,0.49671,0.42377,0.14818,0.73264,0.61417,0.35871,0.000981875,0.000981875,0.000981875
15,1052.74,0.66847,0.63625,0.25061,0.3727,0.45541,0.38667,0.13743,0.73248,0.65043,0.35314,0.00096125,0.00096125,0.00096125
16,1121.46,0.65965,0.62507,0.24195,0.43313,0.48578,0.43767,0.15074,0.72587,0.60643,0.35183,0.000940625,0.000940625,0.000940625
17,1191.38,0.65048,0.61899,0.23942,0.40946,0.53804,0.43516,0.17225,0.74732,0.6125,0.35398,0.00092,0.00092,0.00092
18,1243.17,0.65907,0.62789,0.24488,0.5114,0.54268,0.45094,0.18331,0.70743,0.63913,0.33901,0.000899375,0.000899375,0.000899375
19,1283.56,0.64478,0.62579,0.24403,0.34403,0.40996,0.37332,0.12106,0.80575,0.58653,0.40388,0.00087875,0.00087875,0.00087875
20,1323.28,0.62404,0.62435,0.24099,0.40101,0.48996,0.40408,0.14612,0.72324,0.65943,0.35399,0.000858125,0.000858125,0.000858125
21,1363.8,0.64069,0.63028,0.23633,0.46034,0.44723,0.40475,0.1506,0.74541,0.61881,0.365,0.0008375,0.0008375,0.0008375
22,1403.74,0.62243,0.62868,0.22755,0.36897,0.45693,0.37352,0.13673,0.74538,0.62852,0.36284,0.000816875,0.000816875,0.000816875
23,1443.77,0.60093,0.62599,0.22509,0.33756,0.49655,0.38688,0.12824,0.73818,0.63602,0.36078,0.00079625,0.00079625,0.00079625
24,1483.55,0.62623,0.63277,0.23965,0.38194,0.37414,0.35949,0.13045,0.72283,0.67786,0.35315,0.000775625,0.000775625,0.000775625
25,1523.33,0.62334,0.61556,0.22879,0.40778,0.48736,0.43154,0.15719,0.71019,0.62916,0.34021,0.000755,0.000755,0.000755
26,1563.13,0.59626,0.6172,0.21605,0.3369,0.49914,0.36932,0.1269,0.7365,0.65092,0.34856,0.000734375,0.000734375,0.000734375
27,1603.21,0.60754,0.60108,0.22425,0.40562,0.403,0.39978,0.1453,0.74659,0.64157,0.35174,0.00071375,0.00071375,0.00071375
