epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,2891.02,0.50501,0.53222,0.17752,0.59488,0.41753,0.47446,0.16851,0.75272,0.66286,0.36084,0.000404375,0.000404375,0.000404375
43,2961.38,0.49852,0.53499,0.17096,0.50065,0.51319,0.46689,0.16255,0.75613,0.66471,0.35179,0.00038375,0.00038375,0.00038375
44,3031.49,0.47576,0.52275,0.1743,0.46247,0.41265,0.37112,0.13272,0.78062,0.65023,0.37294,0.000363125,0.000363125,0.000363125
45,3101.52,0.45954,0.51192,0.15507,0.39549,0.44699,0.3715,0.13308,0.76829,0.67586,0.3606,0.0003425,0.0003425,0.0003425
46,3171.75,0.46877,0.51747,0.16305,0.36075,0.6115,0.4008,0.13437,0.78121,0.63952,0.37408,0.000321875,0.000321875,0.000321875
47,3242.06,0.4526,0.50798,0.15369,0.49242,0.47392,0.40451,0.14271,0.75112,0.71864,0.35973,0.00030125,0.00030125,0.00030125
48,3311.97,0.45657,0.49582,0.15983,0.43702,0.43745,0.34314,0.12999,0.79303,0.68951,0.37655,0.000280625,0.000280625,0.000280625
49,3381.93,0.44177,0.48852,0.14951,0.49551,0.47242,0.4241,0.15251,0.76768,0.72472,0.36146,0.00026,0.00026,0.00026
50,3452.1,0.42986,0.48458,0.14616,0.39928,0.49701,0.40451,0.14673,0.79211,0.64666,0.38011,0.000239375,0.000239375,0.000239375
51,3522.42,0.38592,0.4547,0.16318,0.41337,0.50979,0.40052,0.14891,0.76589,0.65842,0.35628,0.00021875,0.00021875,0.00021875
52,3591.51,0.3667,0.42735,0.15886,0.48825,0.44559,0.40462,0.14465,0.80136,0.67238,0.37515,0.000198125,0.000198125,0.000198125
53,3661.91,0.36045,0.41942,0.14826,0.49463,0.47116,0.40076,0.15038,0.79262,0.66816,0.37194,0.0001775,0.0001775,0.0001775
54,3732.14,0.35307,0.41088,0.14585,0.53371,0.42837,0.41485,0.16228,0.78975,0.69318,0.37193,0.000156875,0.000156875,0.000156875
55,3801.85,0.33679,0.39975,0.13891,0.42261,0.49383,0.39136,0.14829,0.78853,0.72898,0.36828,0.00013625,0.00013625,0.00013625
56,3872,0.32318,0.38727,0.13467,0.43899,0.46411,0.37706,0.13923,0.80495,0.73211,0.38195,0.000115625,0.000115625,0.000115625
57,3942.22,0.31042,0.38201,0.12604,0.43021,0.40569,0.37206,0.13888,0.79159,0.73937,0.36932,9.5e-05,9.5e-05,9.5e-05
58,4012.19,0.30854,0.37596,0.12413,0.46893,0.42744,0.37213,0.13792,0.77976,0.7688,0.36737,7.4375e-05,7.4375e-05,7.4375e-05
59,4082.48,0.298,0.36293,0.11732,0.423,0.42225,0.36266,0.13346,0.78857,0.76299,0.36833,5.375e-05,5.375e-05,5.375e-05
60,4152.5,0.28629,0.35781,0.11599,0.42972,0.41203,0.36602,0.13364,0.78839,0.76491,0.36573,3.3125e-05,3.3125e-05,3.3125e-05
